open_time,open,high,low,close,volume
2025-06-30 21:00:00,658.83,659.08,656.63,656.99,7627.06
2025-06-30 22:00:00,656.99,658.07,656.68,657.24,8862.0
2025-06-30 23:00:00,657.25,657.8,656.7,656.99,5812.25
2025-07-01 00:00:00,656.99,659.2,656.61,658.17,12802.39
2025-07-01 01:00:00,658.18,658.96,657.66,658.03,7508.95
2025-07-01 02:00:00,658.03,658.96,656.7,656.97,7243.82
2025-07-01 03:00:00,656.98,657.1,655.4,655.9,9323.0
2025-07-01 04:00:00,655.9,655.92,652.25,652.53,17110.32
2025-07-01 05:00:00,652.54,653.2,651.56,652.36,17015.95
2025-07-01 06:00:00,652.35,653.68,651.7,653.44,9864.4
2025-07-01 07:00:00,653.44,654.45,652.4,653.98,11640.6
2025-07-01 08:00:00,653.98,653.98,651.8,652.23,9294.69
2025-07-01 09:00:00,652.24,653.1,652.2,652.85,6687.3
2025-07-01 10:00:00,652.86,653.2,652.06,653.1,8631.93
2025-07-01 11:00:00,653.1,653.11,651.5,652.24,11140.57
2025-07-01 12:00:00,652.24,652.58,650.7,650.71,9789.94
2025-07-01 13:00:00,650.71,651.57,649.2,651.06,16019.05
2025-07-01 14:00:00,651.06,652.3,645.77,646.99,54754.43
2025-07-01 15:00:00,646.99,647.43,645.3,645.74,18590.16
2025-07-01 16:00:00,645.74,646.81,645.5,645.91,8094.53
2025-07-01 17:00:00,645.9,646.53,645.4,646.13,6307.17
2025-07-01 18:00:00,646.14,646.14,644.12,644.67,10577.62
2025-07-01 19:00:00,644.66,646.52,644.44,645.52,9828.6
2025-07-01 20:00:00,645.52,646.18,643.65,645.8,10590.7
2025-07-01 21:00:00,645.81,647.29,644.97,646.43,8030.57
2025-07-01 22:00:00,646.43,647.02,645.35,645.43,4921.45
2025-07-01 23:00:00,645.43,646.12,643.88,646.11,5956.02
2025-07-02 00:00:00,646.12,646.5,645.2,645.4,6538.19
2025-07-02 01:00:00,645.39,647.78,643.5,647.04,11833.64
2025-07-02 02:00:00,647.05,648.88,646.56,648.82,8292.77
2025-07-02 03:00:00,648.83,650.08,648.3,649.59,11803.27
2025-07-02 04:00:00,649.6,650.33,649.51,650.28,8018.7
2025-07-02 05:00:00,650.29,650.81,649.83,650.63,8191.4
2025-07-02 06:00:00,650.63,656.38,650.58,656.09,35279.86
2025-07-02 07:00:00,656.08,657.82,654.71,657.66,26094.14
2025-07-02 08:00:00,657.65,659.96,657.65,659.7,22827.43
2025-07-02 09:00:00,659.7,659.93,658.22,658.64,16311.35
2025-07-02 10:00:00,658.64,658.8,657.69,657.95,8890.78
2025-07-02 11:00:00,657.96,658.35,657.06,657.38,12340.82
2025-07-02 12:00:00,657.38,657.49,655.54,656.48,17042.79
2025-07-02 13:00:00,656.48,658.56,656.48,658.08,12236.67
2025-07-02 14:00:00,658.07,659.69,657.39,659.45,13797.6
2025-07-02 15:00:00,659.44,662.31,658.87,661.75,26738.44
2025-07-02 16:00:00,661.75,664.63,661.6,664.17,39265.08
2025-07-02 17:00:00,664.17,664.71,662.39,663.23,22036.55
2025-07-02 18:00:00,663.23,664.35,662.78,663.55,14296.85
2025-07-02 19:00:00,663.55,663.94,662.55,663.8,8279.52
2025-07-02 20:00:00,663.8,664.88,662.86,662.87,13834.25
2025-07-02 21:00:00,662.86,663.09,662.01,662.16,6416.11
2025-07-02 22:00:00,662.17,663.78,661.68,662.05,17070.21
2025-07-02 23:00:00,662.05,662.29,659.43,659.97,15443.57
2025-07-03 00:00:00,659.96,660.9,658.32,660.04,17068.37
2025-07-03 01:00:00,660.04,661.35,659.42,660.87,7830.74
2025-07-03 02:00:00,660.88,660.88,658.51,659.3,8334.09
2025-07-03 03:00:00,659.3,660.16,658.63,659.46,7479.72
2025-07-03 04:00:00,659.46,660.24,659.12,659.67,8855.26
2025-07-03 05:00:00,659.67,662.64,659.48,660.86,18850.67
2025-07-03 06:00:00,660.86,661.64,660.27,661.25,11443.54
2025-07-03 07:00:00,661.24,662.89,660.79,662.75,8366.93
2025-07-03 08:00:00,662.76,663.09,661.36,661.52,14008.91
2025-07-03 09:00:00,661.52,664.68,661.45,663.7,15579.72
2025-07-03 10:00:00,663.7,663.9,662.0,662.94,10946.82
2025-07-03 11:00:00,662.94,663.14,661.08,662.03,8362.65
2025-07-03 12:00:00,662.03,664.17,658.84,660.93,26594.88
2025-07-03 13:00:00,660.93,664.21,660.46,663.92,16616.07
2025-07-03 14:00:00,663.91,664.39,660.77,662.53,19193.09
2025-07-03 15:00:00,662.52,662.8,656.56,656.96,29839.37
2025-07-03 16:00:00,656.95,659.45,656.95,658.49,13453.53
2025-07-03 17:00:00,658.49,659.58,658.44,659.24,7507.98
2025-07-03 18:00:00,659.25,660.59,658.75,660.59,7813.52
2025-07-03 19:00:00,660.58,662.02,660.54,661.67,6277.63
2025-07-03 20:00:00,661.67,662.59,661.67,661.8,7343.1
2025-07-03 21:00:00,661.79,663.3,661.68,663.18,9327.48
2025-07-03 22:00:00,663.17,665.0,662.96,663.92,16414.69
2025-07-03 23:00:00,663.93,664.48,662.62,663.9,9840.29
2025-07-04 00:00:00,663.9,664.4,661.7,662.52,11134.14
2025-07-04 01:00:00,662.52,663.77,662.01,662.14,6137.73
2025-07-04 02:00:00,662.15,663.7,660.51,660.84,20370.81
2025-07-04 03:00:00,660.83,662.79,660.21,662.08,6075.21
2025-07-04 04:00:00,662.07,662.08,659.83,659.91,8607.83
2025-07-04 05:00:00,659.92,661.06,659.37,660.32,8668.8
2025-07-04 06:00:00,660.32,660.32,658.03,658.2,11078.19
2025-07-04 07:00:00,658.2,659.1,656.03,656.03,13947.05
2025-07-04 08:00:00,656.04,657.9,654.6,657.89,19020.28
2025-07-04 09:00:00,657.89,658.62,657.3,657.83,8424.53
2025-07-04 10:00:00,657.84,659.7,657.28,659.14,11202.57
2025-07-04 11:00:00,659.15,659.9,659.03,659.66,6966.33
2025-07-04 12:00:00,659.66,660.17,658.23,658.75,14030.44
2025-07-04 13:00:00,658.76,659.86,655.83,655.84,15259.1
2025-07-04 14:00:00,655.85,656.2,653.0,655.59,27175.26
2025-07-04 15:00:00,655.59,655.62,652.1,652.77,18267.56
2025-07-04 16:00:00,652.76,653.04,650.08,651.99,26805.63
2025-07-04 17:00:00,651.98,653.28,651.64,653.23,11691.81
2025-07-04 18:00:00,653.23,653.26,650.83,651.27,8594.6
2025-07-04 19:00:00,651.27,652.46,650.66,651.46,5524.05
2025-07-04 20:00:00,651.45,652.46,650.35,652.36,8543.58
2025-07-04 21:00:00,652.37,652.78,651.84,652.75,5906.7
2025-07-04 22:00:00,652.75,653.88,652.34,653.86,7967.57
2025-07-04 23:00:00,653.86,653.86,652.77,653.39,5688.37
2025-07-05 00:00:00,653.38,654.68,653.16,654.5,9555.74
2025-07-05 01:00:00,654.5,654.53,653.69,654.5,5284.71
2025-07-05 02:00:00,654.5,654.73,652.54,654.54,7082.83
2025-07-05 03:00:00,654.54,655.98,654.46,655.82,6144.11
2025-07-05 04:00:00,655.81,656.04,654.7,655.1,6274.53
2025-07-05 05:00:00,655.11,656.76,654.96,655.59,9720.53
2025-07-05 06:00:00,655.59,656.48,655.03,655.91,7775.08
2025-07-05 07:00:00,655.9,656.06,654.12,654.42,5830.8
2025-07-05 08:00:00,654.41,655.36,653.72,654.23,9030.85
2025-07-05 09:00:00,654.23,655.42,653.88,655.3,6885.72
2025-07-05 10:00:00,655.3,655.5,654.66,654.92,5491.6
2025-07-05 11:00:00,654.92,655.94,654.91,655.32,4725.14
2025-07-05 12:00:00,655.33,655.46,654.32,655.15,6087.21
2025-07-05 13:00:00,655.15,655.54,654.6,654.62,5521.43
2025-07-05 14:00:00,654.62,655.12,654.14,654.93,4981.15
2025-07-05 15:00:00,654.94,655.17,653.91,654.14,3985.49
